"4070, Granaatõun, kg","4111, Õun Golden Delicious, kg","4113, Õun Royal Gala, kg","4129, Õun Kanzi, kg","4048, Õun Granny Smith, kg","4109, Õun (erinevad sordid), kg","Õun GRANNY SMITH 1kl., kg","Õun GOLDEN Delicious suur 1kl., kg","Õun RED DELICIOUS 1kl., kg","Õun KANZI 1kl., kg","Õun ROYAL GALA 1kl., kg","Õun PAULARED 2kl., kg","Granaatõun, kg","Õun 1kl., pakitud, kg","Õun RED PRINCE 1kl., kg",Õun Royal Gala 1.5kg pakitud,"269153, Õun Royal Gala, 1kl kg","269163, Õun Champion 1kl, kg","297240, Õun Golden Delicious 1kl, kg Rimi","281840, Õun Kanzi 1kl, kg","210718, Granaatõun kg","269161, Õun Jonagold 1kl, kg","7148622, Eesti õun Keepsake pakitud 1kl, kg","297318, Õun Granny Smith 1kl Rimi kg","1081008, Õun Tessa, kg","4112, Õun Jonagored/Jonagold, kg","219161, Õun Gala Must võrgus kg","905542, Eesti õun Keepsake 2kl kg",Õun Royal Gala  Pakitud 1 KG,"Õun pakitud 2kl., kg","Õun GOLDEN pakitud 2kl., kg","269163, Õun Idared 1kl, kg","269163, Õun IDARED 1kl, kg","269163, Õun Paula Red 1kl, kg","7148622, Eesti õun Krügeri Tuviõun pakitud 1kl, kg","32571, Õun Eesti (erinevad sordid), 1 kg","7148622, Pakitud õun Halika Õunatalu kg.","930695, Eesti õun Auksis 1kg","269163, Õun Paula Idared 1kl, kg","219161, Õun Gala Must võrgus 1kl, kg","930695, Eesti õun Auksis 1kl, kg","Eesti õun, pakitud, 1kg","905542, Eesti õun Krista 1kl, kg","Mahe õun Eesti, 1kg","Õun Eesti IMRUS 2kl., kg","972464, Saaremaa õun pakitud 1kg","930695, Eesti õun 2kl, kg","4110, Õun Tellissaar, kg"
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,2.59,1.59,0.42,3.99,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,1.99,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,2.59,1.59,0.42,3.99,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,1.99,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,2.59,1.59,0.42,3.99,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,1.99,1.59,0.42,3.99,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,1.99,1.59,0.42,3.99,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,1.99,1.59,0.42,3.99,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,1.99,1.59,0.42,3.99,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,1.99,1.59,0.42,3.99,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,1.99,1.59,0.42,3.99,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.39,2.49,1.69,1.99,1.99,1.29,0.42,3.49,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.39,2.49,1.69,1.99,2.59,1.29,0.42,3.49,0.99,1.49,2.15,1.69,0.55,1.89,2.59,2.99,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.39,2.49,1.69,1.99,2.59,1.29,0.42,3.49,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.49,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,2.59,1.29,0.42,3.49,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.49,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.59,0.42,1.99,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.49,1.19,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.59,0.42,1.99,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.49,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.59,0.42,1.99,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.49,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.59,0.42,1.99,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.49,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.59,0.42,1.99,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.49,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.59,0.42,1.99,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.49,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.49,2.59,1.59,0.42,3.49,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.49,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.49,2.59,1.59,0.42,2.79,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.49,2.59,1.49,0.42,2.79,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.49,2.59,1.49,0.42,2.79,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.49,2.59,1.49,0.42,2.79,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.49,2.59,1.49,0.42,2.79,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
3.99,2.49,1.49,3.99,2.49,0.59,2.49,1.69,1.99,2.59,1.49,0.42,2.79,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.49,0.42,1.99,0.99,1.49,2.15,1.69,0.55,1.69,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.49,0.42,1.99,0.99,1.49,2.15,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.49,0.42,1.99,0.99,1.49,2.15,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.49,0.42,1.99,0.99,1.49,2.15,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.49,3.99,2.49,0.59,2.49,1.29,1.99,2.59,1.49,0.42,1.99,0.99,1.49,2.15,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.49,3.99,2.49,0.59,2.49,1.79,1.99,2.59,1.79,0.42,2.79,0.99,1.49,2.15,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.49,3.99,2.49,0.45,2.49,1.79,1.99,2.59,1.49,0.42,2.79,0.99,1.49,2.15,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.49,3.99,2.49,0.45,2.49,1.99,1.99,2.59,1.49,0.42,2.79,0.99,1.49,2.15,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.59,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.49,3.99,2.99,0.69,1.69,1.99,1.99,2.59,1.29,0.49,2.79,0.99,1.49,2.25,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.49,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.69,3.99,2.99,0.49,2.39,1.99,1.99,2.59,1.29,0.49,2.79,0.99,0.79,2.25,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.49,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.69,3.99,2.99,0.49,2.39,1.99,1.99,2.59,1.29,0.49,2.79,0.99,0.79,2.49,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.49,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.69,3.99,2.99,0.69,2.39,1.99,1.99,2.59,1.29,0.49,2.79,0.99,0.79,2.49,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.49,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.69,3.99,2.99,0.69,2.39,1.99,1.99,2.59,1.29,0.49,2.79,0.99,0.79,2.49,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.49,3.99,1.29,0.79,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.69,3.99,2.99,0.69,2.39,1.99,1.99,2.59,1.29,0.49,2.79,0.99,0.79,2.49,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.69,3.99,2.99,0.69,2.39,1.99,1.99,2.59,1.29,0.49,2.79,0.99,0.79,2.49,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,1.69,4.69,2.99,0.69,2.39,1.99,1.99,2.59,1.79,0.55,2.79,0.99,1.49,2.49,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
4.29,2.49,2.79,4.69,2.99,0.79,2.39,1.99,1.99,2.59,1.79,0.55,2.79,0.99,1.49,2.49,1.69,0.59,1.99,2.59,3.79,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.49,2.79,4.69,2.99,0.79,2.39,1.99,1.99,2.59,1.79,0.55,1.99,0.99,1.49,2.49,1.69,0.59,1.99,3.49,2.99,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.49,2.79,4.69,2.79,0.49,2.39,1.99,1.99,2.59,2.49,0.55,2.39,0.99,1.49,2.49,2.25,0.59,1.99,3.69,2.99,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.49,2.79,4.69,2.79,0.49,2.39,1.99,1.99,2.59,2.49,0.55,2.39,0.99,1.49,2.49,2.25,0.59,1.99,3.69,2.79,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.49,2.79,4.69,2.79,0.49,2.39,1.99,1.99,3.69,2.49,0.55,2.39,0.99,1.49,2.49,2.25,0.59,1.99,3.69,2.79,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.49,2.79,4.69,2.79,0.79,2.39,1.99,1.99,3.69,2.49,0.55,2.39,0.99,1.49,2.49,2.59,0.59,1.99,3.99,2.79,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.49,2.79,4.69,2.79,0.99,2.39,1.79,1.99,3.99,2.49,0.55,2.59,0.99,1.49,2.49,2.59,0.59,1.99,3.99,2.79,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.49,2.79,4.69,2.79,0.99,2.39,1.79,1.99,3.99,2.49,0.55,2.59,0.99,1.49,2.49,2.59,0.59,1.99,3.99,2.79,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.39,2.79,4.69,2.99,0.89,2.39,1.79,1.99,3.99,2.49,0.55,2.79,0.99,1.49,2.49,2.39,0.59,1.89,3.99,2.79,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
2.99,2.39,2.79,4.69,2.59,0.49,2.39,1.79,1.99,3.99,2.49,0.55,2.79,0.99,1.49,2.49,2.39,0.59,1.89,3.99,2.89,1.29,3.99,2.69,3.99,1.29,0.89,2.39,1.59,0.99,0.99,0.59,0.59,0.65,3.49,2.99,3.99,3.49,0.65,0.89,3.49,3.49,3.99,3.99,1.99,3.99,2.99,1.99
